clock_id,clock_name,clock_type,com_port,com_baudrate,enabled,door_id,memo,macname,macaddress,mactype,macaddress1,macaddress2,macaddress3,macaddress4
1,"البصمة",1,1,38400,0,"5005","192.168.1.224","باب واحد للتحكم في الوصول في اتجاهين              ",,,,,,
2,"البصمة",1,1,38400,0,"5005","192.168.1.225","باب واحد للتحكم في الوصول في اتجاهين              ",,,,,,
