Rule_id,LateIgnore,LeaveIgnore,DupLimit,LateLeaveCalHrs,LateHrs,LeaveHrs,AheadHrs,AheadMins,DeferHrs,DeferMins
"R0001   ","5","10","10","30","30","30",1,"30",1,"30"
"001","1","1","10","10","180","180",0,"30",0,"30"
