bmbh,bmmc
,"kqrq as week1"
,"kqrq1150"
,"Modify ID"
,"access"
,"English characters"
,"English characters1"
,"Indexes"
,"English characters2"
,"English characters3"
,"English characters4"
,"English characters5"
,"English characters6"
,"cdzttime1"
,"DoorRightList3"
,"تعديل رقم الهوية"
,"DoorRightListEAC"
,"charactersName"
,"firstlastlong"
,"infoenable"
,"Logimage"
,"DoorACGroupDFace"
,"DoorACGroupJPFace"
