Rule_id,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,NoRule,RestDays,ReadLate,ReadLeave,ReadWorkHrs
"R0001   ",0,1,1,1,1,1,1,0,"0   ",0,0,0
"001",0,1,1,1,1,1,1,1,"0",0,0,0
